"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES GRAZED  -  <b>VALUE</b>","CORN - ACRES GRAZED  -  <b>CV (%)</b>","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN - ACRES REMAINING TO BE PLANTED  -  <b>VALUE</b>","CORN - ACRES REMAINING TO BE PLANTED  -  <b>CV (%)</b>","CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, FOR ALCOHOL & OTHER PRODUCTS - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL & OTHER PRODUCTS - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR OTHER PRODUCTS (EXCL ALCOHOL) - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR OTHER PRODUCTS (EXCL ALCOHOL) - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES REMAINING TO BE HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES REMAINING TO BE HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>VALUE</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>CV (%)</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","100,206,000","","","","","","","","","","","","","","2,272,540,000","","22.7","","","","","","",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","101,451,000","","","","","","","","","","","","","","2,947,842,000","","29.1","","","","","","",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","101,393,000","","","","","","","","","","","","","","2,474,635,000","","24.4","","","","","","",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","102,267,000","","","","","","","","","","","","","","2,852,794,000","","27.9","","","","","","",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","100,200,000","","","","","","","","","","","","","","2,611,157,000","","26.1","","","","","","",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","95,285,000","","","","","","","","","","","","","","2,566,742,000","","26.9","","","","","","",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","96,094,000","","","","","","","","","","","","","","2,613,797,000","","27.2","","","","","","",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","95,624,000","","","","","","","","","","","","","","3,032,910,000","","31.7","","","","","","",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","95,746,000","","","","","","","","","","","","","","2,954,148,000","","30.9","","","","","","",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","95,228,000","","","","","","","","","","","","","","2,686,624,000","","28.2","","","","","","",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","93,555,000","","","","","","","","","","","","","","2,515,093,000","","26.9","","","","","","",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","97,177,000","","","","","","","","","","","","","","2,773,954,000","","28.5","","","","","","",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","94,422,000","","","","","","","","","","","","","","1,715,752,000","","18.2","","","","","","",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","94,852,000","","","","","","","","","","","","","","2,661,978,000","","28.1","","","","","","",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","94,591,000","","","","","","","","","","","","","","2,645,796,000","","28","","","","","","",""
"SURVEY","1898","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","87,784,000","","","","","","","","","","","","","","2,351,323,000","","26.8","","","","","","",""
"SURVEY","1897","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","89,965,000","","","","","","","","","","","","","","2,287,628,000","","25.4","","","","","","",""
"SURVEY","1896","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","89,074,000","","","","","","","","","","","","","","2,671,048,000","","30","","","","","","",""
"SURVEY","1895","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","90,479,000","","","","","","","","","","","","","","2,534,762,000","","28","","","","","","",""
"SURVEY","1894","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","80,069,000","","","","","","","","","","","","","","1,615,016,000","","20.2","","","","","","",""
"SURVEY","1893","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","79,832,000","","","","","","","","","","","","","","1,900,401,000","","23.8","","","","","","",""
"SURVEY","1892","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","76,914,000","","","","","","","","","","","","","","1,897,412,000","","24.7","","","","","","",""
"SURVEY","1891","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","78,855,000","","","","","","","","","","","","","","2,335,804,000","","29.6","","","","","","",""
"SURVEY","1890","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","74,785,000","","","","","","","","","","","","","","1,650,446,000","","22.1","","","","","","",""
"SURVEY","1889","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","77,656,000","","","","","","","","","","","","","","2,294,289,000","","29.5","","","","","","",""
"SURVEY","1888","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","77,474,000","","","","","","","","","","","","","","2,250,632,000","","29.1","","","","","","",""
"SURVEY","1887","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","73,296,000","","","","","","","","","","","","","","1,604,549,000","","21.9","","","","","","",""
"SURVEY","1886","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","73,911,000","","","","","","","","","","","","","","1,782,767,000","","24.1","","","","","","",""
"SURVEY","1885","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","71,854,000","","","","","","","","","","","","","","2,057,807,000","","28.6","","","","","","",""
"SURVEY","1884","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","68,834,000","","","","","","","","","","","","","","1,947,838,000","","28.3","","","","","","",""
"SURVEY","1883","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","68,168,000","","","","","","","","","","","","","","1,652,148,000","","24.2","","","","","","",""
"SURVEY","1882","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","66,157,000","","","","","","","","","","","","","","1,755,272,000","","26.5","","","","","","",""
"SURVEY","1881","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","63,026,000","","","","","","","","","","","","","","1,244,803,000","","19.8","","","","","","",""
"SURVEY","1880","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","62,545,000","","","","","","","","","","","","","","1,706,673,000","","27.3","","","","","","",""
"SURVEY","1879","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","62,229,000","","","","","","","","","","","","","","1,751,984,000","","28.2","","","","","","",""
"SURVEY","1878","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","59,659,000","","","","","","","","","","","","","","1,564,537,000","","26.2","","","","","","",""
"SURVEY","1877","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","58,799,000","","","","","","","","","","","","","","1,515,862,000","","25.8","","","","","","",""
"SURVEY","1876","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","55,277,000","","","","","","","","","","","","","","1,478,173,000","","26.7","","","","","","",""
"SURVEY","1875","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","52,446,000","","","","","","","","","","","","","","1,450,276,000","","27.7","","","","","","",""
"SURVEY","1874","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","47,640,000","","","","","","","","","","","","","","1,058,778,000","","22.2","","","","","","",""
"SURVEY","1873","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","44,084,000","","","","","","","","","","","","","","1,008,326,000","","22.9","","","","","","",""
"SURVEY","1872","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","43,584,000","","","","","","","","","","","","","","1,279,369,000","","29.4","","","","","","",""
"SURVEY","1871","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","42,002,000","","","","","","","","","","","","","","1,141,715,000","","27.2","","","","","","",""
"SURVEY","1870","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","38,388,000","","","","","","","","","","","","","","1,124,775,000","","29.3","","","","","","",""
"SURVEY","1869","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","35,833,000","","","","","","","","","","","","","","782,084,000","","21.8","","","","","","",""
"SURVEY","1868","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","35,116,000","","","","","","","","","","","","","","919,590,000","","26.2","","","","","","",""
"SURVEY","1867","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","32,116,000","","","","","","","","","","","","","","793,905,000","","24.7","","","","","","",""
"SURVEY","1866","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","30,017,000","","","","","","","","","","","","","","730,814,000","","24.3","","","","","","",""
